Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/prod/camelcase?text=Did%20you%20hear%20about%20the%20mathematician%20who%E2%80%99s%20afraid%20of%20negative%20numbers%3F%20He%20will%20stop%20at%20nothing%20to%20avoid%20them.,19,0,95,251.9757741078808,66.75554200774059,2973.7970429996494,90.0,0.0053308824886961585,0.0,95,120,120,120,170,3000,3000,3000,3000,3000,3000
GET,/prod/camelcase?text=Have%20you%20heard%20about%20the%20new%20restaurant%20called%20Karma%3F%20There%E2%80%99s%20no%20menu%3A%20You%20get%20what%20you%20deserve.,17,0,100.0,98.861994997338,71.05441601015627,130.7604580069892,78.0,0.004769736963570247,0.0,100,110,110,110,120,130,130,130,130,130,130
GET,/prod/camelcase?text=I%20have%20a%20few%20jokes%20about%20unemployed%20people%2C%20but%20none%20of%20them%20work.,30,0,110.0,217.77595012875585,68.78124998183921,3292.8241259942297,54.0,0.008417182876888672,0.0,110,120,130,160,170,170,3300,3300,3300,3300,3300
GET,/prod/camelcase?text=I%20have%20a%20split%20personality%20said%20Tom%2C%20being%20Frank.,19,0,110.0,116.26289478858541,74.4092500244733,148.0127920222003,41.0,0.0053308824886961585,0.0,110,130,130,140,140,150,150,150,150,150,150
GET,/prod/camelcase?text=I%20threw%20a%20boomerang%20a%20few%20years%20ago.%20I%20now%20live%20in%20constant%20fear.,16,0,120.0,125.1167629397969,75.97337500192225,204.58258400321938,52.0,0.004489164201007292,0.0,120,130,140,140,160,200,200,200,200,200,200
GET,/prod/camelcase?text=I%20told%20my%20computer%20I%20needed%20a%20break%2C%20and%20now%20it%20won%E2%80%99t%20stop%20sending%20me%20Kit-Kats.,36,0,120.0,117.70200577464291,68.55887500569224,183.92545799724758,62.0,0.010100619452266407,0.0,120,130,140,140,160,180,180,180,180,180,180
GET,/prod/camelcase?text=I%20told%20my%20wife%20she%20should%20embrace%20her%20mistakes.%20She%20gave%20me%20a%20hug.,40,0,110.0,143.13642617416917,64.25962501089089,1386.394625005778,53.0,0.01122291050251823,0.0,110,120,140,150,170,180,1400,1400,1400,1400,1400
GET,/prod/camelcase?text=I%20told%20my%20wife%20she%20was%20drawing%20her%20eyebrows%20too%20high.%20She%20looked%20surprised.,44,0,110.0,112.908936589189,69.09941701451316,186.22500001220033,62.0,0.012345201552770052,0.0,110,130,140,140,150,170,190,190,190,190,190
GET,/prod/camelcase?text=I%20used%20to%20be%20a%20baker%2C%20but%20I%20couldn%27t%20make%20enough%20dough.,22,0,110.0,113.66358531813603,83.41279102023691,192.97545900917612,43.0,0.006172600776385026,0.0,110,120,130,130,150,170,190,190,190,190,190
GET,/prod/camelcase?text=I%20used%20to%20be%20a%20banker%2C%20but%20I%20lost%20interest.,21,0,120.0,407.71541504849057,78.44837501761504,3366.700626007514,34.0,0.00589202801382207,0.0,120,140,150,170,180,3000,3400,3400,3400,3400,3400
GET,/prod/camelcase?text=I%20used%20to%20play%20piano%20by%20ear%2C%20but%20now%20I%20use%20my%20hands.,50,0,110.0,171.96278757997788,65.3223330155015,3028.4254599828273,40.0,0.014028638128147787,0.0,110,120,140,150,160,180,3000,3000,3000,3000,3000
GET,/prod/camelcase?text=I%20used%20to%20play%20triangle%20in%20a%20reggae%20band%20but%20left%20because%20it%20was%20just%20one%20ting%20after%20another.,17,0,100.0,105.56322553106035,74.51758300885558,155.2788750268519,76.0,0.004769736963570247,0.0,100,120,120,120,130,160,160,160,160,160,160
