Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/prod/camelcase?text=Did%20you%20hear%20about%20the%20mathematician%20who%E2%80%99s%20afraid%20of%20negative%20numbers%3F%20He%20will%20stop%20at%20nothing%20to%20avoid%20them.,1,0,118.81337499653455,118.81337499653455,118.81337499653455,118.81337499653455,90.0,0.44321041141400713,0.0,120,120,120,120,120,120,120,120,120,120,120
GET,/prod/camelcase?text=Have%20you%20heard%20about%20the%20new%20restaurant%20called%20Karma%3F%20There%E2%80%99s%20no%20menu%3A%20You%20get%20what%20you%20deserve.,1,0,85.33083299698774,85.33083299698774,85.33083299698774,85.33083299698774,78.0,0.44321041141400713,0.0,85,85,85,85,85,85,85,85,85,85,85
GET,/prod/camelcase?text=I%20have%20a%20few%20jokes%20about%20unemployed%20people%2C%20but%20none%20of%20them%20work.,1,0,435.0894170056563,435.0894170056563,435.0894170056563,435.0894170056563,54.0,0.44321041141400713,0.0,440,440,440,440,440,440,440,440,440,440,440
GET,/prod/camelcase?text=I%20threw%20a%20boomerang%20a%20few%20years%20ago.%20I%20now%20live%20in%20constant%20fear.,1,0,77.36037501308601,77.36037501308601,77.36037501308601,77.36037501308601,52.0,0.44321041141400713,0.0,77,77,77,77,77,77,77,77,77,77,77
GET,/prod/camelcase?text=I%20told%20my%20computer%20I%20needed%20a%20break%2C%20and%20now%20it%20won%E2%80%99t%20stop%20sending%20me%20Kit-Kats.,2,0,72,244.8255000053905,71.70904100348707,417.9419590072939,62.0,0.8864208228280143,0.0,420,420,420,420,420,420,420,420,420,420,420
GET,/prod/camelcase?text=I%20told%20my%20wife%20she%20should%20embrace%20her%20mistakes.%20She%20gave%20me%20a%20hug.,2,0,72.13745800254401,82.6574789971346,72.13745800254401,93.1774999917252,53.0,0.8864208228280143,0.0,93,93,93,93,93,93,93,93,93,93,93
GET,/prod/camelcase?text=I%20told%20my%20wife%20she%20was%20drawing%20her%20eyebrows%20too%20high.%20She%20looked%20surprised.,1,0,95.51262500463054,95.51262500463054,95.51262500463054,95.51262500463054,62.0,0.44321041141400713,0.0,96,96,96,96,96,96,96,96,96,96,96
GET,/prod/camelcase?text=I%20used%20to%20be%20a%20baker%2C%20but%20I%20couldn%27t%20make%20enough%20dough.,1,0,61.6124160005711,61.6124160005711,61.6124160005711,61.6124160005711,43.0,0.44321041141400713,0.0,62,62,62,62,62,62,62,62,62,62,62
GET,/prod/camelcase?text=I%20used%20to%20be%20a%20banker%2C%20but%20I%20lost%20interest.,2,0,78,91.78724999219412,77.65124998695683,105.92324999743141,34.0,0.8864208228280143,0.0,110,110,110,110,110,110,110,110,110,110,110
GET,/prod/camelcase?text=I%20used%20to%20play%20piano%20by%20ear%2C%20but%20now%20I%20use%20my%20hands.,1,0,116.40129100123886,116.40129100123886,116.40129100123886,116.40129100123886,40.0,0.44321041141400713,0.0,120,120,120,120,120,120,120,120,120,120,120
GET,/prod/camelcase?text=I%20used%20to%20play%20triangle%20in%20a%20reggae%20band%20but%20left%20because%20it%20was%20just%20one%20ting%20after%20another.,2,0,110.0,937.7253759957966,106.94666698691435,1768.504085004679,76.0,0.8864208228280143,0.0,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
GET,/prod/camelcase?text=I%20used%20to%20think%20I%20was%20indecisive%2C%20but%20now%20I%27m%20not%20too%20sure.,1,0,119.62029201094992,119.62029201094992,119.62029201094992,119.62029201094992,46.0,0.44321041141400713,0.0,120,120,120,120,120,120,120,120,120,120,120
GET,/prod/camelcase?text=I%20used%20to%20think%20I%20was%20indecisive.%20But%20now%20I%27m%20not%20so%20sure.,1,0,87.04900000884663,87.04900000884663,87.04900000884663,87.04900000884663,45.0,0.44321041141400713,0.0,87,87,87,87,87,87,87,87,87,87,87
GET,/prod/camelcase?text=I%20would%20tell%20a%20swimming%20joke%2C%20but%20I%20think%20it%27s%20too%20watered%20down%20to%20be%20funny.,2,0,84,259.72016699961387,83.60995800467208,435.83037599455565,60.0,0.8864208228280143,0.0,440,440,440,440,440,440,440,440,440,440,440
GET,/prod/camelcase?text=I%27d%20tell%20you%20a%20chemistry%20joke%20but%20I%20know%20I%20wouldn%27t%20get%20a%20reaction.,1,0,84.00837499357294,84.00837499357294,84.00837499357294,84.00837499357294,53.0,0.44321041141400713,0.0,84,84,84,84,84,84,84,84,84,84,84
GET,/prod/camelcase?text=I%27d%20tell%20you%20a%20construction%20joke%2C%20but%20I%E2%80%99m%20still%20working%20on%20it.,1,0,99.08008300408255,99.08008300408255,99.08008300408255,99.08008300408255,49.0,0.44321041141400713,0.0,99,99,99,99,99,99,99,99,99,99,99
GET,/prod/camelcase?text=I%27m%20on%20a%20whiskey%20diet.%20I%27ve%20lost%20three%20days%20already.,4,0,79,506.3091150004766,64.2703750054352,1801.741959003266,41.0,1.7728416456560285,0.0,81,81,1800,1800,1800,1800,1800,1800,1800,1800,1800
GET,/prod/camelcase?text=I%27m%20reading%20a%20book%20on%20anti-gravity.%20It%27s%20impossible%20to%20put%20down%21,2,0,73.39416700415313,258.1634585003485,73.39416700415313,442.93274999654386,51.0,0.8864208228280143,0.0,440,440,440,440,440,440,440,440,440,440,440
GET,/prod/camelcase?text=I%27m%20reading%20a%20horror%20book%20in%20Braille.%20Something%20bad%20is%20going%20to%20happen%2C%20I%20can%20feel%20it.,1,0,1780.1091679866659,1780.1091679866659,1780.1091679866659,1780.1091679866659,68.0,0.44321041141400713,0.0,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
GET,/prod/camelcase?text=I%27m%20terrified%20of%20elevators%2C%20so%20I%E2%80%99m%20going%20to%20start%20taking%20steps%20to%20avoid%20them.,3,0,82,80.75381967258484,74.25416700425558,85.87695800815709,62.0,1.3296312342420213,0.0,82,82,86,86,86,86,86,86,86,86,86
GET,/prod/camelcase?text=My%20wife%20accused%20me%20of%20being%20immature.%20I%20told%20her%20to%20get%20out%20of%20my%20fort.,1,0,161.41400000196882,161.41400000196882,161.41400000196882,161.41400000196882,56.0,0.44321041141400713,0.0,160,160,160,160,160,160,160,160,160,160,160
GET,/prod/camelcase?text=My%20wife%20told%20me%20to%20stop%20impersonating%20a%20flamingo.%20I%20had%20to%20put%20my%20foot%20down.,2,0,73,85.56312449945835,72.64454101095907,98.48170798795763,61.0,0.8864208228280143,0.0,98,98,98,98,98,98,98,98,98,98,98
GET,/prod/camelcase?text=Parallel%20lines%20have%20so%20much%20in%20common.%20It%E2%80%99s%20a%20shame%20they%E2%80%99ll%20never%20meet.,1,0,99.30787500343286,99.30787500343286,99.30787500343286,99.30787500343286,57.0,0.44321041141400713,0.0,99,99,99,99,99,99,99,99,99,99,99
GET,/prod/camelcase?text=Reading%20a%20horror%20book%20in%20Braille.%20Something%20bad%20is%20going%20to%20happen%2C%20I%20can%20feel%20it.,1,0,85.90620900213253,85.90620900213253,85.90620900213253,85.90620900213253,66.0,0.44321041141400713,0.0,86,86,86,86,86,86,86,86,86,86,86
GET,/prod/camelcase?text=The%20future%2C%20the%20present%2C%20and%20the%20past%20walked%20into%20a%20bar.%20Things%20got%20a%20little%20tense.,1,0,72.87587500468362,72.87587500468362,72.87587500468362,72.87587500468362,66.0,0.44321041141400713,0.0,73,73,73,73,73,73,73,73,73,73,73
GET,/prod/camelcase?text=To%20the%20guy%20who%20invented%20zero%2C%20thanks%20for%20nothing.,2,0,430.0,435.7968550029909,425.94595899572596,445.6477510102559,41.0,0.8864208228280143,0.0,450,450,450,450,450,450,450,450,450,450,450
GET,/prod/camelcase?text=Why%20don%27t%20some%20couples%20go%20to%20the%20gym%3F%20Because%20some%20relationships%20don%27t%20work%20out.,5,0,77,82.8123420040356,62.16779201349709,112.19137499574572,65.0,2.2160520570700357,0.0,77,89,89,110,110,110,110,110,110,110,110
GET,/prod/camelcase?text=Why%20don%E2%80%99t%20scientists%20trust%20atoms%3F%20Because%20they%20make%20up%20everything%21,4,0,110.0,186.95473974730703,69.43412499094848,431.4716670050984,56.0,1.7728416456560285,0.0,130,130,430,430,430,430,430,430,430,430,430
GET,/prod/camelcase?text=Why%20don%E2%80%99t%20skeletons%20fight%20each%20other%3F%20They%20don%E2%80%99t%20have%20the%20guts.,1,0,73.1965000013588,73.1965000013588,73.1965000013588,73.1965000013588,51.0,0.44321041141400713,0.0,73,73,73,73,73,73,73,73,73,73,73
GET,/prod/camelcase?text=You%27re%20not%20completely%20useless%2C%20you%20can%20always%20serve%20as%20a%20bad%20example.,1,0,76.48445799713954,76.48445799713954,76.48445799713954,76.48445799713954,57.0,0.44321041141400713,0.0,76,76,76,76,76,76,76,76,76,76,76
,Aggregated,50,0,87,239.02058350096922,61.6124160005711,1801.741959003266,56.16,22.160520570700356,0.0,89,110,120,420,440,1800,1800,1800,1800,1800,1800
